WKT,Join_Count,TARGET_FID,OPEN_LAND,RESIDENTIA,COMMERCIAL,COMMERC_01,INDUSTRIAL
"MULTIPOLYGON (((274857.6981 2100021.5671,274657.6981 2100021.5671,274557.6981 2100194.7721,274657.6981 2100367.9772,274857.6981 2100367.9772,274957.6981 2100194.7721,274857.6981 2100021.5671)))","1","942",26100.00000000000,76900.00000000000,141100.00000000000,144200.00000000000,124500.00000000000
"MULTIPOLYGON (((274557.6981 2101234.0026,274357.6981 2101234.0026,274257.6981 2101407.2077,274357.6981 2101580.4128,274557.6981 2101580.4128,274657.6981 2101407.2077,274557.6981 2101234.0026)))","2","943",23950.00000000000,75350.00000000000,129000.00000000000,148350.00000000000,120700.00000000000
"MULTIPOLYGON (((274257.6981 2101060.7975,274057.6981 2101060.7975,273957.6981 2101234.0026,274057.6981 2101407.2077,274257.6981 2101407.2077,274357.6981 2101234.0026,274257.6981 2101060.7975)))","1","944",26100.00000000000,76900.00000000000,141100.00000000000,144200.00000000000,124500.00000000000
"MULTIPOLYGON (((274257.6981 2100714.3874,274057.6981 2100714.3874,273957.6981 2100887.5925,274057.6981 2101060.7975,274257.6981 2101060.7975,274357.6981 2100887.5925,274257.6981 2100714.3874)))","1","945",26100.00000000000,76900.00000000000,141100.00000000000,144200.00000000000,124500.00000000000
"MULTIPOLYGON (((274557.6981 2100541.1823,274357.6981 2100541.1823,274257.6981 2100714.3874,274357.6981 2100887.5925,274557.6981 2100887.5925,274657.6981 2100714.3874,274557.6981 2100541.1823)))","1","946",26100.00000000000,76900.00000000000,141100.00000000000,144200.00000000000,124500.00000000000
"MULTIPOLYGON (((273957.6981 2101234.0026,273757.6981 2101234.0026,273657.6981 2101407.2077,273757.6981 2101580.4128,273957.6981 2101580.4128,274057.6981 2101407.2077,273957.6981 2101234.0026)))","3","947",59800.00000000000,139066.66666700001,188633.33333299999,210700.00000000000,154933.33333299999
"MULTIPOLYGON (((273657.6981 2101060.7975,273457.6981 2101060.7975,273357.6981 2101234.0026,273457.6981 2101407.2077,273657.6981 2101407.2077,273757.6981 2101234.0026,273657.6981 2101060.7975)))","4","948",78575.00000000000,179100.00000000000,235000.00000000000,265325.00000000000,191000.00000000000
"MULTIPOLYGON (((273657.6981 2100714.3874,273457.6981 2100714.3874,273357.6981 2100887.5925,273457.6981 2101060.7975,273657.6981 2101060.7975,273757.6981 2100887.5925,273657.6981 2100714.3874)))","2","949",53350.00000000000,127800.00000000000,182200.00000000000,194950.00000000000,151600.00000000000
"MULTIPOLYGON (((273957.6981 2100541.1823,273757.6981 2100541.1823,273657.6981 2100714.3874,273757.6981 2100887.5925,273957.6981 2100887.5925,274057.6981 2100714.3874,273957.6981 2100541.1823)))","1","950",26100.00000000000,76900.00000000000,141100.00000000000,144200.00000000000,124500.00000000000
"MULTIPOLYGON (((273357.6981 2101234.0026,273157.6981 2101234.0026,273057.6981 2101407.2077,273157.6981 2101580.4128,273357.6981 2101580.4128,273457.6981 2101407.2077,273357.6981 2101234.0026)))","2","951",107750.00000000000,238950.00000000000,298700.00000000000,337450.00000000000,238950.00000000000
